from	to
425688002	64572001
1264458000	721308005
91861009	91855006
425688002	91857003
92818009	188732008
128822004	24072005
278453007	91857003
721308005	64572001
92818009	109993000
28950004	1162928000
93143009	64572001
92818009	92812005
127225006	188768003
92818009	64572001
52168008	1163439000
721308005	91855006
12291000132102	64572001
127225006	92812005
1162768007	414644002
127225006	64572001
118600007	277606000
128923008	1172709000
77430005	414655002
92812005	93143009
127225006	445738007
450913003	24072005
128822004	1172709000
1162928000	24072005
91855006	93143009
51092000	414654003
1163439000	1162768007
93143009	269475001
77430005	128822004
77430005	314926009
51092000	1172709000
92812005	414824005
91861009	188732008
91855006	414824005
118600007	64572001
188725004	93143009
188725004	277606000
12291000132102	91861009
92812005	64572001
91855006	64572001
278453007	1187123005
1162928000	1163439000
188725004	414824005
1163439000	414792005
118600007	269475001
188725004	64572001
93143009	414823004
91861009	64572001
1264458000	64572001
