from	to
NCT04272125	93143009
NCT04811560	1162928000
NCT05406817	91855006
NCT04835519	12291000132102
NCT04157569	91855006
NCT05751044	128822004
NCT05071482	91855006
NCT05326516	1264458000
NCT05480501	93143009
NCT05809050	91855006
NCT05521087	721308005
NCT04265963	93143009
NCT05321940	1162928000
NCT03756675	91855006
NCT05536349	93143009
NCT05739409	127225006
NCT05326516	1162928000
NCT05589896	128822004
NCT04571138	93143009
NCT05918692	128822004
NCT01174615	93143009
NCT05309018	1163439000
NCT05309213	93143009
NCT04571138	118600007
NCT05464836	93143009
NCT05335226	91855006
NCT04411043	128923008
NCT05589896	278453007
NCT05035706	1162928000
NCT03826992	93143009
NCT04767165	91855006
NCT05993949	128822004
NCT05866887	128822004
NCT05886491	93143009
NCT04714372	1162928000
NCT02643888	93143009
NCT04714372	52168008
NCT05521087	1162928000
NCT04100187	93143009
NCT06058572	91855006
NCT03319901	93143009
NCT05458258	1162928000
NCT04965649	93143009
NCT05014165	128822004
NCT01515527	93143009
NCT05282459	93143009
NCT03058588	93143009
NCT05035615	91855006
NCT05282459	52168008
NCT05268003	93143009
NCT05086315	128822004
NCT04547049	93143009
NCT04856215	93143009
NCT03294980	51092000
NCT05918692	1162928000
NCT03974217	93143009
NCT05321940	128822004
NCT05035706	1163439000
NCT01949129	128822004
NCT04714372	1163439000
NCT05682924	92818009
NCT04747912	128822004
NCT05793801	93143009
NCT05507827	188725004
NCT05326516	128822004
NCT05645718	93143009
NCT05664230	128822004
NCT05589896	1264458000
NCT04811560	128822004
NCT05848687	128822004
NCT04965649	1163439000
NCT04092803	93143009
NCT04767152	91855006
NCT05787951	1163439000
NCT05521087	128822004
NCT04282811	51092000
NCT03466944	1162768007
NCT04728893	51092000
NCT05739630	91855006
NCT05014165	1162928000
NCT04835519	1162928000
NCT02349698	93143009
NCT05589896	1162928000
NCT02724163	91861009
NCT05774990	128822004
NCT05901974	721308005
NCT02349698	118600007
NCT05866887	93143009
NCT05589896	91855006
NCT05739409	1162928000
NCT04747912	425688002
NCT03564470	93143009
NCT05268003	128822004
NCT05321940	77430005
NCT04251754	28950004
NCT04965649	92812005
NCT05712278	91861009
NCT04224974	91855006
NCT05326516	450913003
NCT05649371	93143009
