from	to
NCT05282459	Celgene Corporation
NCT04224974	Princess Margaret Hospital, University Health Network
NCT05848687	Lucile Packard Foundation for Children's Health
NCT01949129	ALL SCTped Forum
NCT05309018	Centre Hospitalier Régional Metz-Thionville
NCT02643888	Medical University of Vienna
NCT05335226	Institute of Hematology & Blood Diseases Hospital, China
NCT03466944	Institute of Cancer Research, United Kingdom
NCT05035706	M.D. Anderson Cancer Center
NCT05464836	M.D. Anderson Cancer Center
NCT05014165	National Cancer Institute (NCI)
NCT01949129	Assistance Publique - Hôpitaux de Paris
NCT05739630	The First Affiliated Hospital of Soochow University
NCT03294980	University Hospital, Brest
NCT04747912	University of Chicago
NCT02724163	Cancer Research UK
NCT05282459	Tian Yi Zhang
NCT05682924	Samara State Medical University
NCT05848687	Pediatric Oncology Experimental Therapeutics Investigators' Consortium
NCT05901974	Affiliated Hospital of Nantong University
NCT01949129	Australian & New Zealand Children's Haematology/Oncology Group
NCT04835519	Beijing Boren Hospital
NCT04767152	Federal Research Institute of Pediatric Hematology, Oncology and Immunology
NCT03974217	Dana-Farber Cancer Institute
NCT01949129	ALL-BFM Study Group
NCT05751044	Innovative Therapies For Children with Cancer Consortium
NCT05751044	Princess Maxima Center for Pediatric Oncology
NCT03826992	Children's Hospital Medical Center, Cincinnati
NCT06058572	Tata Memorial Centre
NCT05664230	Assistance Publique - Hôpitaux de Paris
NCT01515527	M.D. Anderson Cancer Center
NCT05536349	M.D. Anderson Cancer Center
NCT02643888	St. Petersburg State Pavlov Medical University
NCT05901974	First Affiliated Hospital Bengbu Medical College
NCT05901974	Jining Medical University
NCT02724163	National Cancer Institute, France
NCT02643888	UHKT Prague
NCT05326516	Syndax Pharmaceuticals
NCT01949129	European Society for Blood and Marrow Transplantation
NCT05458258	University of Chicago
NCT02643888	St. Anna Kinderkrebsforschung
NCT05406817	Syndax Pharmaceuticals
NCT05793801	Centre Hospitalier Universitaire de Nīmes
NCT01949129	Dutch Childhood Oncology Group
NCT01949129	St. Anna Kinderkrebsforschung
NCT05793801	University Hospital, Montpellier
NCT05886491	Takeda
NCT05035615	Becton, Dickinson and Company
NCT05848687	Stanford University
NCT05014165	Children's Oncology Group
NCT03058588	Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia
NCT03974217	Pfizer
NCT05774990	University of Southern Denmark
NCT05712278	Sanofi
NCT01174615	University of Massachusetts, Worcester
NCT05866887	Dana-Farber Cancer Institute
NCT05589896	Ossium Health, Inc.
NCT02349698	Southwest Hospital, China
NCT05751044	Fight Kids Cancer
NCT05321940	Juan C. Ramos, MD
NCT05918692	Biomea Fusion Inc.
NCT05751044	IBFM
NCT02724163	University of Birmingham
NCT04571138	Seattle Children's Hospital
NCT05901974	Suzhou Hospital of Traditional Chinese Medicine
NCT01949129	Swiss Pediatric Oncology Group
NCT02724163	Pfizer
NCT05268003	M.D. Anderson Cancer Center
NCT04811560	Janssen Research & Development, LLC
NCT05536349	The Leukemia and Lymphoma Society
NCT05071482	wang, jianxiang
NCT05507827	Orca Biosystems, Inc.
NCT04411043	University Hospital, Lille
NCT04714372	Masonic Cancer Center, University of Minnesota
NCT05901974	Sheng-Li Xue, MD
NCT04224974	Canadian Cancer Society (CCS)
NCT02643888	National Research Center for Radiation Medicine in Kiev
NCT05649371	University of Calgary
NCT03319901	AbbVie
NCT02724163	Assistance Publique - Hôpitaux de Paris
NCT05774990	Odense University Hospital
NCT04272125	Chongqing Precision Biotech Co., Ltd
NCT04411043	French Innovative Leukemia Organisation
NCT05589896	Center for International Blood and Marrow Transplant Research
NCT03564470	Nanfang Hospital, Southern Medical University
NCT05739409	Institute of Hematology & Blood Diseases Hospital, China
NCT05809050	Sohag University
NCT05649371	Alberta Cancer Foundation
NCT05086315	Sanofi
NCT05645718	M.D. Anderson Cancer Center
NCT04092803	University of Colorado, Denver
NCT04767165	Federal Research Institute of Pediatric Hematology, Oncology and Immunology
NCT04224974	Canadian Institutes of Health Research (CIHR)
NCT05866887	National Cancer Institute (NCI)
NCT05993949	Stanford University
NCT04728893	Merck Sharp & Dohme LLC
NCT05901974	Northern Jiangsu Province People's Hospital
NCT05480501	Beijing Immunochina Medical Science & Technology Co., Ltd.
NCT04224974	Canadian Cancer Trials Group
NCT04100187	Hebei Yanda Ludaopei Hospital
NCT05774990	Odense Patient Data Explorative Network
NCT04547049	First Affiliated Hospital of Zhejiang University
NCT04282811	Gruppo Italiano Malattie EMatologiche dell'Adulto
NCT04265963	Chongqing Precision Biotech Co., Ltd
NCT05507827	Crystal Mackall, MD
NCT04965649	Centre Hospitalier Universitaire de Nīmes
NCT04251754	The University of Hong Kong
NCT05521087	Janssen Research & Development, LLC
NCT04092803	National Cancer Institute (NCI)
NCT04100187	Kecellitics Biotech Company Ltd
NCT04856215	Great Ormond Street Hospital for Children NHS Foundation Trust
NCT05309213	Beijing Immunochina Medical Science & Technology Co., Ltd.
NCT05787951	Assiut University
NCT05536349	Loxo Oncology, Inc.
NCT05848687	Amgen
NCT03756675	Peking University People's Hospital
NCT04157569	Navy General Hospital, Beijing
NCT05901974	The Second People's Hospital of Huai'an
NCT05993949	Kite Pharma
NCT03319901	Dana-Farber Cancer Institute
