SNOMEDCT	fsn	name
91861009	Acute myeloid leukemia (disorder)	Acute myeloid leukemia, disease
414654003	Mature (peripheral) B-cell neoplasm (morphologic abnormality)	Mature (peripheral) B-cell neoplasm
414823004	Neoplasm affecting hematopoietic structure (disorder)	Neoplasm affecting hematopoietic structure
314926009	T-cell lymphoma morphology (morphologic abnormality)	T-cell lymphoma morphology
91855006	Acute leukemia, disease (disorder)	Acute leukemia
1163439000	Myeloid leukemia (morphologic abnormality)	Myeloid leukemia
414792005	Myeloid neoplasm (morphologic abnormality)	Myeloid neoplasm
93143009	Leukemia, disease (disorder)	Leukemia
128822004	Precursor cell lymphoblastic leukemia (morphologic abnormality)	Precursor cell lymphoblastic leukemia
1162928000	Acute myeloid leukemia (morphologic abnormality)	Acute myeloid leukemia
1162768007	Leukemia (morphologic abnormality)	Leukemia
414824005	Neoplasm of bone marrow (disorder)	Neoplasm of bone marrow
1172709000	Lymphoid leukemia (morphologic abnormality)	Lymphoid leukemia
92812005	Chronic leukemia, disease (disorder)	Chronic leukemia
64572001	Disease (disorder)	Disease
277606000	Lymphoreticular tumor (disorder)	Lymphoreticular tumor
109993000	Chronic myeloproliferative disorder (clinical) (disorder)	Chronic myeloproliferative disorder (clinical)
24072005	Acute leukemia (morphologic abnormality)	Acute leukemia
188768003	Myelomonocytic leukemia (disorder)	Myelomonocytic leukemia
269475001	Malignant tumor of lymphoid, hemopoietic AND/OR related tissue (disorder)	Malignant tumor of lymphoid hemopoietic and related tissue
188732008	Myeloid leukemia (disorder)	Myeloid leukemia
91857003	Acute lymphoid leukemia, disease (disorder)	Acute lymphoid leukemia
721308005	Acute leukemia of ambiguous lineage (disorder)	Acute leukemia of ambiguous lineage
445738007	Myelodysplastic/myeloproliferative disease (disorder)	Myelodysplastic/myeloproliferative disease
414655002	Mature (peripheral) T-cell neoplasm (morphologic abnormality)	Mature (peripheral) T-cell neoplasm
1187123005	Mixed phenotype acute leukemia (disorder)	Mixed phenotype acute leukemia
414644002	Malignant hematopoietic neoplasm (morphologic abnormality)	Malignant hematopoietic neoplasm
