name	type
Orca Biosystems, Inc.	INDUSTRY
Princess Margaret Hospital, University Health Network	UNKNOWN
Chongqing Precision Biotech Co., Ltd	INDUSTRY
M.D. Anderson Cancer Center	OTHER
Pfizer	INDUSTRY
Tata Memorial Centre	OTHER
Ossium Health, Inc.	INDUSTRY
Pediatric Oncology Experimental Therapeutics Investigators' Consortium	UNKNOWN
University Hospital, Brest	OTHER
Peking University People's Hospital	OTHER
wang, jianxiang	OTHER
Masonic Cancer Center, University of Minnesota	OTHER
Kecellitics Biotech Company Ltd	INDUSTRY
IBFM	UNKNOWN
Alberta Cancer Foundation	OTHER
Children's Hospital Medical Center, Cincinnati	OTHER
Celgene Corporation	INDUSTRY
First Affiliated Hospital of Zhejiang University	OTHER
Swiss Pediatric Oncology Group	OTHER
Samara State Medical University	OTHER
Becton, Dickinson and Company	INDUSTRY
Assistance Publique - Hôpitaux de Paris	OTHER
Biomea Fusion Inc.	INDUSTRY
Tian Yi Zhang	OTHER
Takeda	INDUSTRY
Innovative Therapies For Children with Cancer Consortium	OTHER
Odense University Hospital	OTHER
Juan C. Ramos, MD	OTHER
AbbVie	INDUSTRY
National Cancer Institute (NCI)	NIH
The University of Hong Kong	OTHER
Gruppo Italiano Malattie EMatologiche dell'Adulto	OTHER
Odense Patient Data Explorative Network	OTHER
Canadian Institutes of Health Research (CIHR)	OTHER_GOV
Medical University of Vienna	OTHER
Crystal Mackall, MD	OTHER
Beijing Immunochina Medical Science & Technology Co., Ltd.	INDUSTRY
Jining Medical University	OTHER
Dutch Childhood Oncology Group	OTHER
University of Birmingham	OTHER
Sheng-Li Xue, MD	OTHER
Princess Maxima Center for Pediatric Oncology	OTHER
UHKT Prague	UNKNOWN
The First Affiliated Hospital of Soochow University	OTHER
Center for International Blood and Marrow Transplant Research	NETWORK
First Affiliated Hospital Bengbu Medical College	OTHER
Canadian Cancer Society (CCS)	OTHER
Fight Kids Cancer	OTHER
Institute of Hematology & Blood Diseases Hospital, China	OTHER
Children's Oncology Group	NETWORK
The Second People's Hospital of Huai'an	OTHER
Australian & New Zealand Children's Haematology/Oncology Group	OTHER
French Innovative Leukemia Organisation	OTHER
Lucile Packard Foundation for Children's Health	UNKNOWN
Northern Jiangsu Province People's Hospital	OTHER
Affiliated Hospital of Nantong University	OTHER
Dana-Farber Cancer Institute	OTHER
Sanofi	INDUSTRY
Nanfang Hospital, Southern Medical University	OTHER
Canadian Cancer Trials Group	NETWORK
Beijing Boren Hospital	OTHER
Federal Research Institute of Pediatric Hematology, Oncology and Immunology	OTHER
Seattle Children's Hospital	OTHER
Institute of Cancer Research, United Kingdom	OTHER
Assiut University	OTHER
National Cancer Institute, France	OTHER_GOV
University of Massachusetts, Worcester	OTHER
Stanford University	OTHER
The Leukemia and Lymphoma Society	OTHER
St. Petersburg State Pavlov Medical University	OTHER
ALL-BFM Study Group	NETWORK
Suzhou Hospital of Traditional Chinese Medicine	OTHER
Janssen Research & Development, LLC	INDUSTRY
Cancer Research UK	OTHER
ALL SCTped Forum	OTHER
Navy General Hospital, Beijing	OTHER
Centre Hospitalier Régional Metz-Thionville	OTHER
Kite Pharma	UNKNOWN
University of Colorado, Denver	OTHER
University of Chicago	OTHER
University of Calgary	OTHER
St. Anna Kinderkrebsforschung	OTHER
National Research Center for Radiation Medicine in Kiev	UNKNOWN
European Society for Blood and Marrow Transplantation	NETWORK
Sohag University	OTHER
Loxo Oncology, Inc.	INDUSTRY
Great Ormond Street Hospital for Children NHS Foundation Trust	OTHER
University of Southern Denmark	OTHER
University Hospital, Montpellier	OTHER
Merck Sharp & Dohme LLC	INDUSTRY
Syndax Pharmaceuticals	INDUSTRY
Southwest Hospital, China	OTHER
Centre Hospitalier Universitaire de Nīmes	OTHER
Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia	OTHER
University Hospital, Lille	OTHER
Amgen	INDUSTRY
Hebei Yanda Ludaopei Hospital	OTHER
