fsn	SNOMEDCT	name
Neoplasm of bladder (disorder)	126885006	Neoplasm of bladder
Disease caused by Papillomavirus (disorder)	30415006	Disease caused by Papillomavirus
Body structure (body structure)	123037004	Body structure
Bacterial urogenital infection (disorder)	312123003	Bacterial urogenital infection
Structure of abdominopelvic segment of trunk (body structure)	63337009	Abdominopelvic segment of trunk
Lupus erythematosus (disorder)	200936003	Lupus erythematosus
Chest and/or abdomen structure (body structure)	416550000	Chest and abdomen
Disorder of cardiovascular system (disorder)	49601007	Disorder of cardiovascular system
Hereditary disease (disorder)	32895009	Hereditary disease
Inflammatory disorder of genitourinary system (disorder)	373406006	Inflammatory disorder of genitourinary system
Structure of anatomical compartment (body structure)	699590003	Structure of anatomical compartment
Retroperitoneal compartment structure (body structure)	82849001	Retroperitoneal compartment structure
Disorder of thorax (disorder)	118946009	Disorder of thorax
Disorder of the genitourinary system (disorder)	42030000	Disorder of the genitourinary system
Plasma cell neoplasm (morphologic abnormality)	127580003	Plasma cell neoplasm (morphology)
Body structure, altered from its original anatomical structure (morphologic abnormality)	118956008	Morphologically altered structure
Structure of urinary system subdivision (body structure)	118972000	Urinary system subdivision
Acute upper urinary tract infection (disorder)	431308006	Acute upper urinary tract infection
Structure of abdominopelvic cavity and/or content (body structure)	818986006	Intra-abdominopelvic structure
Malignant neoplasm of abdomen (disorder)	188366002	Malignant neoplasm of abdomen
Sweat gland bearing skin structure (body structure)	310887008	Sweat gland bearing skin
Body region structure (body structure)	52530000	Body region structure
Structure of subdivision of organ system (body structure)	714488006	Structure of subdivision of organ system
Hyperlipidemia (disorder)	55822004	Hyperlipidemia
Inflammatory dermatosis (disorder)	703938007	Inflammatory dermatosis
Neck and/or chest structure (body structure)	417437006	Neck and chest
Digestive organ structure (body structure)	49596003	Digestive organ structure
Vascular structure of trunk (body structure)	306955007	Vascular structure of trunk
Proliferative mass (morphologic abnormality)	416939005	Proliferative mass
Disorder of skin and/or subcutaneous tissue (disorder)	80659006	Disorder of skin and/or subcutaneous tissue
Skin or mucosa lesion (disorder)	247440002	Skin or mucosa lesion
Entire subdivision of genitourinary system (body structure)	118973005	Entire subdivision of genitourinary system
General wellbeing (observable entity)	363800008	General wellbeing
Structure of urogenital organ (body structure)	714320002	Structure of urogenital organ
Structure of great blood vessel (organ) (body structure)	3711007	Structure of great blood vessel (organ)
Infectious disorder of kidney (disorder)	129128006	Infectious disorder of kidney
Anatomical structure (body structure)	91723000	Anatomical structure
Headache disorder (disorder)	230461009	Headache disorder
Intra-abdominopelvic structure excluding intra-pelvic structure of true pelvis (body structure)	818988007	Intra-abdominal proper structure
Structure of lung and/or mediastinum (body structure)	310787001	Structure of lung and/or mediastinum
Mass of body structure (finding)	300848003	Mass of body structure
Disorder of thoracic segment of trunk (disorder)	609622007	Disorder of thoracic segment of trunk
Structure of genitourinary system subdivision (body structure)	699880003	Structure of genitourinary system subdivision
Disorder of retroperitoneal compartment (disorder)	734045002	Disorder of retroperitoneum
Intrathoracic cardiovascular structure (body structure)	281467004	Intrathoracic cardiovascular structure
Structure of urinary tract in pelvic cavity (body structure)	281904003	Structure of urinary tract in pelvic cavity
Structure of parenchyma of kidney (body structure)	29704000	Structure of parenchyma of kidney
Disorder of artery (disorder)	359557001	Disorder of artery
Chest and/or abdomen and/or pelvis structure (body structure)	416775004	Chest, abdomen, and pelvis
Acute nephritis (disorder)	61503006	Acute nephritis
Structure of body cavity and/or content (body structure)	91829005	Structure of body cavity and/or content
Structure of cortex of kidney (body structure)	50403003	Structure of cortex of kidney
Body tissue structure (body structure)	85756007	Body tissue structure
Lesion (morphologic abnormality)	52988006	Lesion
Lower urinary tract structure (body structure)	19787009	Lower urinary tract structure
Infection of skin (disorder)	108365000	Infection of skin
Inflammation of specific body structures or tissue (disorder)	363170005	Inflammation of specific body structures or tissue
Neoplasm (morphologic abnormality)	108369006	Neoplasm
Structure of artery of thorax AND/OR abdomen (body structure)	39499005	Structure of artery of thorax AND/OR abdomen
Organ part (body structure)	91717005	Organ part
Lower body structure (body structure)	128263001	Lower body structure
Structure of skin and/or surface epithelium (body structure)	400199006	Structure of skin and/or surface epithelium
Structure of neck and/or chest and/or abdomen and/or pelvis (body structure)	416319003	Neck, chest, abdomen, and pelvis
Intra-abdominal urinary structure (body structure)	281901006	Intra-abdominal urinary structure
Structure of type of vessel (body structure)	314237003	Structure of type of vessel
Sex-linked hereditary disorder (disorder)	82852009	Sex-linked hereditary disorder
Hypersomnia (disorder)	77692006	Hypersomnia
Metabolic disease (disorder)	75934005	Metabolic disease
Severe acute respiratory syndrome-related coronavirus (organism)	1263732006	SARSr-CoV
Urinary system structure (body structure)	122489005	Urinary system structure
Vascular structure of head and/or neck (body structure)	281232002	Vascular structure of head and/or neck
Structure of abdominopelvic segment excluding true pelvic segment of trunk (body structure)	818985005	Abdomen proper segment of trunk
